Tier,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Wins,Losses,Draws,WinRate%
1,Charmander,Rattata,Bulbasaur,,,,58,6,0,90.6
1,Charmander,Mudkip,Bulbasaur,,,,58,7,0,89.2
1,Charmander,Treecko,Torchic,,,,40,6,0,87.0
1,Rattata,Charmander,Totodile,,,,58,10,0,85.3
1,Mudkip,Charmander,Squirtle,,,,50,9,0,84.7
1,Totodile,Charmander,Bulbasaur,,,,44,8,0,84.6
1,Torchic,Charmander,Bulbasaur,,,,47,9,0,83.9
1,Charmander,Totodile,Cyndaquil,,,,46,9,0,83.6
1,Bulbasaur,Charmander,Totodile,,,,56,11,0,83.6
1,Bulbasaur,Charmander,Slakoth,,,,40,8,0,83.3
1,Charmander,Treecko,Totodile,,,,44,9,0,83.0
1,Charmander,Torchic,Totodile,,,,44,9,0,83.0
1,Totodile,Charmander,Torchic,,,,44,9,0,83.0
1,Rattata,Charmander,Torchic,,,,53,11,0,82.8
1,Charmander,Treecko,Totodile,,,,62,13,0,82.7
1,Mudkip,Charmander,Totodile,,,,57,12,0,82.6
1,Bulbasaur,Charmander,Rattata,,,,47,10,0,82.5
1,Mudkip,Bulbasaur,Squirtle,,,,51,11,0,82.3
1,Bulbasaur,Charmander,Totodile,,,,50,11,0,82.0
1,Charmander,Chikorita,Torchic,,,,53,12,0,81.5
1,Charmander,Rattata,Bulbasaur,,,,44,10,0,81.5
1,Charmander,Rattata,Bulbasaur,,,,44,10,0,81.5
1,Rattata,Charmander,Mudkip,,,,57,13,0,81.4
1,Charmander,Rattata,Torchic,,,,39,9,0,81.3
1,Torchic,Charmander,Squirtle,,,,43,10,0,81.1
1,Bulbasaur,Torchic,Chikorita,,,,47,11,0,81.0
1,Charmander,Rattata,Treecko,,,,51,12,0,81.0
1,Charmander,Totodile,Slakoth,,,,54,13,0,80.6
1,Torchic,Treecko,Charmander,,,,45,11,0,80.4
1,Charmander,Rattata,Bulbasaur,,,,48,12,0,80.0
1,Charmander,Rattata,Torchic,,,,44,11,0,80.0
1,Treecko,Charmander,Squirtle,,,,44,11,0,80.0
1,Charmander,Treecko,Torchic,,,,55,14,0,79.7
1,Bulbasaur,Charmander,Torchic,,,,51,13,0,79.7
1,Mudkip,Charmander,Torchic,,,,51,13,0,79.7
1,Mudkip,Charmander,Bulbasaur,,,,51,13,0,79.7
1,Torchic,Charmander,Bulbasaur,,,,47,12,0,79.7
1,Chikorita,Charmander,Totodile,,,,43,11,0,79.6
1,Bulbasaur,Charmander,Squirtle,,,,43,11,0,79.6
1,Charmander,Treecko,Torchic,,,,43,11,0,79.6
1,Charmander,Totodile,Bulbasaur,,,,50,13,0,79.4
1,Bulbasaur,Charmander,Totodile,,,,50,13,0,79.4
1,Bulbasaur,Charmander,Rattata,,,,46,12,0,79.3
1,Totodile,Charmander,Mudkip,,,,46,12,0,79.3
1,Squirtle,Charmander,Bulbasaur,,,,46,12,0,79.3
1,Charmander,Treecko,Slakoth,,,,42,11,0,79.2
1,Torchic,Charmander,Totodile,,,,57,15,0,79.2
1,Bulbasaur,Charmander,Rattata,,,,53,14,0,79.1
1,Totodile,Charmander,Rattata,,,,49,13,0,79.0
1,Bulbasaur,Charmander,Torchic,,,,45,12,0,78.9
1,Rattata,Charmander,Torchic,,,,45,12,0,78.9
1,Charmander,Treecko,Rattata,,,,56,15,0,78.9
1,Charmander,Rattata,Slakoth,,,,52,14,0,78.8
1,Torchic,Bulbasaur,Totodile,,,,52,14,0,78.8
1,Charmander,Bulbasaur,Torchic,,,,52,14,0,78.8
1,Treecko,Torchic,Slakoth,,,,48,13,0,78.7
1,Totodile,Charmander,Slakoth,,,,44,12,0,78.6
1,Bulbasaur,Charmander,Squirtle,,,,44,12,0,78.6
1,Charmander,Rattata,Totodile,,,,40,11,0,78.4
1,Charmander,Rattata,Slakoth,,,,47,13,0,78.3
1,Chikorita,Charmander,Slakoth,,,,50,14,0,78.1
1,Charmander,Totodile,Treecko,,,,50,14,0,78.1
1,Charmander,Rattata,Bulbasaur,,,,50,14,0,78.1
