Round,Tier,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Wins,Losses,Draws,WinRate%
12,5,Marowak,Xatu,Sceptile,Manectric,Pelipper,Flygon,184,8,0,95.8
12,5,Venusaur,Manectric,Sceptile,Flygon,Sandslash,Scyther,205,6,3,95.8
12,5,Blastoise,Sceptile,Rapidash,Scyther,Sandslash,Electrode,185,7,2,95.4
12,5,Magneton,Electrode,Charizard,Trapinch,Gyarados,Flaaffy,198,11,0,94.7
12,5,Blastoise,Raichu,Growlithe,Gyarados,Exeggutor,Venusaur,205,9,3,94.5
12,5,Magnemite,Manectric,Starmie,Ponyta,Venusaur,Noctowl,166,8,2,94.3
12,5,Blissey,Fearow,Sceptile,Raichu,Slugma,Steelix,203,13,0,94.0
12,5,Graveler,Venusaur,Charizard,Rapidash,Starmie,Sceptile,179,9,3,93.7
12,5,Magneton,Exploud,Blastoise,Ninetales,Xatu,Charizard,192,12,1,93.7
12,5,Gyarados,Donphan,Xatu,Marill,Venusaur,Azumarill,189,13,0,93.6
12,5,Vaporeon,Charizard,Xatu,Venusaur,Typhlosion,Flygon,194,13,1,93.3
12,5,Snorlax,Electabuzz,Feraligatr,Flaaffy,Fearow,Exeggutor,187,13,1,93.0
12,5,Psyduck,Flygon,Gyarados,Flaaffy,Venusaur,Scyther,169,12,1,92.9
12,5,Charizard,Snorlax,Feraligatr,Cacturne,Blastoise,Scyther,176,13,1,92.6
12,5,Jolteon,Rapidash,Magnemite,Flareon,Fearow,Gyarados,198,15,1,92.5
12,5,Magneton,Magmar,Raichu,Fearow,Starmie,Flaaffy,169,14,0,92.3
12,5,Magneton,Rapidash,Starmie,Blissey,Smeargle,Natu,192,16,0,92.3
12,5,Venusaur,Gyarados,Ninetales,Manectric,Donphan,Snorlax,202,15,2,92.2
12,5,Donphan,Sceptile,Skarmory,Porygon2,Exeggutor,Electabuzz,190,16,0,92.2
12,5,Charizard,Noctowl,Jolteon,Manectric,Venusaur,Staryu,178,14,1,92.2
12,5,Charizard,Jolteon,Mantine,Fearow,Meganium,Snorlax,176,15,0,92.1
12,5,Blastoise,Jolteon,Magmar,Venusaur,Hoothoot,Natu,176,15,0,92.1
12,5,Gyarados,Marowak,Exeggutor,Jolteon,Exploud,Venusaur,184,16,0,92.0
12,5,Typhlosion,Charizard,Jolteon,Natu,Girafarig,Flygon,200,17,1,91.7
12,5,Jolteon,Magcargo,Steelix,Gyarados,Xatu,Flaaffy,173,16,0,91.5
12,5,Feraligatr,Venusaur,Rapidash,Scyther,Snorlax,Natu,173,9,7,91.5
12,5,Raichu,Fearow,Rapidash,Blastoise,Xatu,Magcargo,193,18,0,91.5
12,5,Porygon2,Venusaur,Raichu,Fearow,Natu,Ivysaur,175,14,3,91.1
12,5,Typhlosion,Onix,Xatu,Gyarados,Sandslash,Skarmory,184,18,0,91.1
12,5,Slaking,Blastoise,Golbat,Gyarados,Slowbro,Magnemite,173,17,0,91.1
12,5,Electrode,Charizard,Xatu,Voltorb,Donphan,Tentacruel,183,18,0,91.0
12,5,Charizard,Ninetales,Golem,Donphan,Fearow,Snorlax,193,18,1,91.0
12,5,Typhlosion,Flaaffy,Blissey,Charizard,Vaporeon,Marowak,182,18,0,91.0
12,5,Vigoroth,Fearow,Charizard,Dugtrio,Feraligatr,Venusaur,171,17,0,91.0
12,5,Ninetales,Azumarill,Sceptile,Jolteon,Venusaur,Electabuzz,178,17,1,90.8
12,5,Electrode,Spearow,Gyarados,Trapinch,Blissey,Donphan,168,17,0,90.8
12,5,Xatu,Dugtrio,Venusaur,Starmie,Electrode,Skarmory,187,19,0,90.8
12,5,Flareon,Growlithe,Fearow,Feraligatr,Donphan,Gyarados,167,17,0,90.8
12,5,Persian,Typhlosion,Magmar,Blastoise,Gyarados,Blaziken,167,16,1,90.8
12,5,Blastoise,Donphan,Jolteon,Pelipper,Magnemite,Lileep,183,19,0,90.6
12,5,Manectric,Xatu,Sceptile,Venusaur,Persian,Swampert,182,19,0,90.5
12,5,Manectric,Venusaur,Fearow,Snorlax,Marill,Magnemite,182,15,4,90.5
12,5,Starmie,Venusaur,Sandslash,Flaaffy,Sceptile,Girafarig,191,14,6,90.5
12,5,Girafarig,Skarmory,Sceptile,Charizard,Smeargle,Rapidash,190,19,1,90.5
12,5,Magcargo,Porygon2,Starmie,Blastoise,Gyarados,Snorlax,180,18,1,90.5
12,5,Skarmory,Charizard,Snorlax,Sandslash,Magmar,Rapidash,168,18,0,90.3
12,5,Raichu,Magmar,Sceptile,Ivysaur,Snorlax,Donphan,167,18,0,90.3
12,5,Magneton,Venusaur,Smeargle,Electabuzz,Pelipper,Camerupt,176,15,4,90.3
12,5,Tentacruel,Electabuzz,Fearow,Sceptile,Typhlosion,Miltank,182,19,1,90.1
12,5,Charizard,Electrode,Cacturne,Camerupt,Blissey,Rapidash,191,20,1,90.1
12,5,Xatu,Venusaur,Manectric,Azumarill,Marowak,Camerupt,180,16,4,90.0
12,5,Blastoise,Jolteon,Fearow,Staryu,Sandshrew,Growlithe,170,19,0,89.9
12,5,Tentacruel,Gyarados,Sceptile,Electrike,Blissey,Venusaur,178,18,2,89.9
12,5,Fearow,Sceptile,Blastoise,Minun,Slugma,Flareon,169,19,0,89.9
12,5,Venusaur,Growlithe,Charizard,Starmie,Lileep,Flareon,192,17,5,89.7
12,5,Fearow,Donphan,Scyther,Electabuzz,Onix,Exeggutor,191,22,0,89.7
12,5,Venusaur,Blissey,Persian,Blastoise,Crobat,Rapidash,173,10,10,89.6
12,5,Gyarados,Mantine,Venusaur,Sceptile,Miltank,Skarmory,181,21,0,89.6
12,5,Girafarig,Charizard,Ivysaur,Raichu,Magmar,Fearow,198,23,0,89.6
12,5,Slowbro,Blissey,Plusle,Gyarados,Raichu,Porygon2,172,20,0,89.6
12,5,Sceptile,Rapidash,Exeggutor,Donphan,Blaziken,Typhlosion,189,21,1,89.6
12,5,Electabuzz,Scyther,Feraligatr,Snorlax,Vaporeon,Gyarados,188,21,1,89.5
12,5,Blastoise,Magnemite,Blissey,Azumarill,Flygon,Plusle,162,18,1,89.5
12,5,Chansey,Sceptile,Starmie,Scyther,Donphan,Manectric,179,21,0,89.5
12,5,Crobat,Rapidash,Sceptile,Blastoise,Charizard,Onix,179,21,0,89.5
12,5,Miltank,Electabuzz,Cacturne,Sceptile,Exploud,Pupitar,178,21,0,89.4
12,5,Slugma,Sceptile,Electrode,Jolteon,Natu,Donphan,161,19,0,89.4
12,5,Skarmory,Exploud,Sandslash,Gyarados,Meganium,Flaaffy,167,20,0,89.3
12,5,Persian,Slowbro,Blastoise,Exploud,Swampert,Venusaur,166,14,6,89.2
12,5,Steelix,Gyarados,Porygon2,Jolteon,Blissey,Rapidash,182,22,0,89.2
12,5,Sandslash,Blastoise,Rapidash,Chansey,Porygon2,Blissey,165,20,0,89.2
12,5,Manectric,Flaaffy,Flareon,Venusaur,Dugtrio,Blastoise,171,20,1,89.1
12,5,Fearow,Typhlosion,Skarmory,Crobat,Venusaur,Flaaffy,162,19,1,89.0
12,5,Sceptile,Typhlosion,Camerupt,Blastoise,Cacturne,Porygon2,178,22,0,89.0
12,5,Rapidash,Electabuzz,Camerupt,Venusaur,Flygon,Sceptile,175,16,6,88.8
12,5,Typhlosion,Flygon,Xatu,Snorlax,Sandshrew,Fearow,166,21,0,88.8
12,5,Quilava,Persian,Starmie,Jolteon,Blissey,Porygon2,205,26,0,88.7
12,5,Spearow,Mantine,Sceptile,Charizard,Xatu,Flaaffy,157,20,0,88.7
12,5,Manectric,Magneton,Tentacruel,Pelipper,Gyarados,Slowbro,180,22,1,88.7
12,5,Charizard,Slaking,Typhlosion,Sandslash,Venusaur,Scyther,180,23,0,88.7
12,5,Charizard,Fearow,Blissey,Natu,Spearow,Feraligatr,187,23,1,88.6
12,5,Gyarados,Exploud,Snorlax,Spearow,Raichu,Golduck,179,23,0,88.6
12,5,Gloom,Sandshrew,Manectric,Venusaur,Xatu,Flaaffy,179,17,6,88.6
12,5,Manectric,Voltorb,Venusaur,Raichu,Spearow,Xatu,171,22,0,88.6
