Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Torchic,Bulbasaur,58.81,54.05,4.76,452
Charmander,Rattata,54.87,50.82,4.05,451
Charmander,Totodile,56.03,52.17,3.85,468
Bulbasaur,Slakoth,56.63,52.91,3.71,475
Torchic,Treecko,55.27,51.9,3.37,492
Charmander,Treecko,55.05,51.72,3.33,464
Torchic,Slakoth,56.7,53.38,3.32,466
Torchic,Totodile,55.6,52.36,3.25,467
Bulbasaur,Squirtle,54.24,51.08,3.16,449
Slakoth,Porygon,51.99,48.84,3.15,443
Charmander,Bulbasaur,57.0,53.86,3.14,463
Torchic,Squirtle,54.57,51.54,3.03,422
Bulbasaur,Totodile,54.87,51.89,2.98,490
Torchic,Chikorita,54.09,51.25,2.83,453
Bulbasaur,Cyndaquil,54.84,52.03,2.81,457
Torchic,Mudkip,52.81,50.24,2.57,431
Charmander,Squirtle,53.75,51.36,2.39,416
Torchic,Charmander,56.59,54.33,2.26,472
Bulbasaur,Mudkip,51.98,49.78,2.2,459
Torchic,Rattata,53.11,51.0,2.11,444
Bulbasaur,Rattata,52.59,50.53,2.05,444
Slakoth,Totodile,53.07,51.23,1.85,477
Cyndaquil,Totodile,52.0,50.34,1.66,470
Charmander,Porygon,51.46,49.8,1.66,429
Charmander,Chikorita,52.6,51.08,1.53,423
Charmander,Slakoth,54.51,53.2,1.31,425
Charmander,Mudkip,51.28,50.06,1.22,447
Slakoth,Cyndaquil,52.4,51.36,1.03,460
Slakoth,Treecko,51.69,50.77,0.92,475
Cyndaquil,Treecko,50.75,49.88,0.86,471
Bulbasaur,Porygon,50.04,49.51,0.53,455
Slakoth,Squirtle,50.87,50.41,0.46,433
Cyndaquil,Chikorita,49.59,49.24,0.35,437
Slakoth,Chikorita,50.44,50.12,0.32,460
Cyndaquil,Squirtle,49.84,49.52,0.32,439
Squirtle,Chikorita,48.13,48.28,-0.15,432
Treecko,Rattata,48.23,48.39,-0.16,478
Torchic,Cyndaquil,52.21,52.49,-0.28,446
Slakoth,Mudkip,48.8,49.11,-0.31,434
Charmander,Cyndaquil,52.0,52.31,-0.32,462
Totodile,Chikorita,48.74,49.1,-0.36,466
Cyndaquil,Rattata,48.55,48.98,-0.43,444
Torchic,Porygon,49.49,49.97,-0.49,455
Totodile,Treecko,48.98,49.75,-0.76,493
Cyndaquil,Mudkip,46.9,48.23,-1.33,458
Treecko,Squirtle,47.26,48.93,-1.67,451
Bulbasaur,Treecko,49.68,51.44,-1.75,506
Totodile,Rattata,47.07,48.84,-1.78,483
Treecko,Porygon,45.46,47.36,-1.91,482
Cyndaquil,Porygon,46.04,47.96,-1.92,460
Bulbasaur,Chikorita,48.72,50.79,-2.07,436
Chikorita,Rattata,45.43,47.75,-2.32,440
Squirtle,Rattata,45.49,48.03,-2.54,448
Totodile,Porygon,45.02,47.82,-2.8,468
Chikorita,Mudkip,44.17,46.99,-2.82,455
Slakoth,Rattata,46.76,49.87,-3.11,414
Totodile,Squirtle,46.23,49.39,-3.15,460
Treecko,Mudkip,44.42,47.63,-3.22,448
Treecko,Chikorita,44.8,48.64,-3.85,454
Totodile,Mudkip,43.76,48.09,-4.33,424
Squirtle,Porygon,42.55,47.0,-4.46,444
Rattata,Mudkip,41.88,46.73,-4.86,480
Squirtle,Mudkip,42.34,47.27,-4.93,460
Chikorita,Porygon,41.22,46.72,-5.5,432
Mudkip,Porygon,38.29,45.71,-7.42,472
Rattata,Porygon,38.55,46.47,-7.92,436
