Pokemon,Tier,Winrate,Std_Dev,Sample_Size
Meganium,3,66.98,15.5,702
Blaziken,3,66.78,16.28,758
Charmeleon,3,65.55,15.02,697
Golbat,3,65.32,14.74,719
Ivysaur,3,65.25,12.89,659
Swampert,3,64.77,15.57,690
Ponyta,3,63.85,17.2,731
Mantine,3,63.34,16.04,693
Porygon2,3,63.25,18.11,763
Minun,3,60.82,18.09,762
Quilava,3,60.67,16.98,692
Plusle,3,60.55,18.05,704
Grovyle,3,60.01,16.4,715
Wartortle,3,59.68,18.13,688
Spearow,3,58.64,17.51,719
Croconaw,3,57.67,17.17,734
Loudred,3,57.0,19.0,671
Natu,3,53.92,19.34,717
Slugma,3,53.3,19.48,709
Sunflora,3,53.11,19.55,693
Vigoroth,3,52.63,19.15,729
Cubone,3,52.56,17.32,660
Magnemite,3,51.55,21.33,708
Combusken,2,51.36,19.44,729
Hoothoot,3,51.2,16.59,706
Marill,3,49.69,20.38,751
Raticate,2,49.53,21.49,731
Trapinch,3,48.86,18.66,685
Voltorb,3,48.18,19.67,742
Smeargle,3,47.55,22.55,713
Sandshrew,3,47.17,19.39,689
Elekid,2,46.93,20.6,700
Whismur,2,46.87,20.68,679
Exeggcute,3,46.84,19.69,705
Phanpy,2,46.64,21.03,714
Chansey,3,46.56,20.37,734
Bayleef,2,46.55,20.27,672
Onix,3,46.2,18.29,680
Magby,2,45.66,19.91,688
Psyduck,3,45.36,20.21,688
Marshtomp,2,45.22,20.39,704
Geodude,3,44.78,20.57,703
Pikachu,2,44.62,20.97,722
Slowpoke,2,44.04,20.38,697
Meowth,2,43.93,19.72,743
Diglett,2,43.9,19.8,738
Eevee,2,43.68,19.85,698
Numel,2,43.32,20.95,713
Mareep,2,43.31,20.43,705
Vulpix,2,43.13,19.87,640
Pidgey,2,43.1,19.14,693
Wingull,2,42.86,18.8,643
Oddish,2,42.56,18.72,721
Larvitar,2,42.45,19.11,690
Sunkern,2,42.26,19.83,696
Porygon,1,41.92,20.18,699
Zubat,2,41.92,19.6,696
Cacnea,2,41.74,19.93,725
Torchic,1,41.45,20.32,678
Slakoth,1,41.44,20.2,698
Tentacool,2,41.13,19.68,699
Chikorita,1,40.47,20.93,710
Treecko,1,40.43,19.85,708
Squirtle,1,40.0,19.83,679
Bulbasaur,1,39.82,19.66,710
Rattata,1,39.63,20.3,719
Charmander,1,39.47,20.03,691
Mudkip,1,39.09,20.07,713
Cyndaquil,1,38.98,19.76,689
Totodile,1,38.57,20.12,717
Magikarp,2,33.15,19.52,644
