Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Magnemite,Venusaur,76.2,54.34,21.87,59
Larvitar,Cacturne,67.38,45.91,21.48,75
Loudred,Gyarados,80.08,58.9,21.18,63
Smeargle,Gyarados,72.67,52.25,20.43,65
Magnemite,Gyarados,74.27,53.86,20.41,71
Larvitar,Loudred,71.6,51.34,20.25,166
Porygon,Golbat,68.6,48.5,20.11,90
Porygon,Blaziken,67.74,48.04,19.7,94
Smeargle,Venusaur,72.07,52.73,19.35,64
Loudred,Venusaur,78.6,59.38,19.22,71
Totodile,Golbat,70.9,51.83,19.07,88
Porygon,Charmeleon,67.13,48.15,18.98,99
Onix,Gyarados,70.07,51.55,18.52,63
Smeargle,Charizard,71.25,53.12,18.13,66
Porygon2,Gyarados,75.89,57.94,17.95,66
Chikorita,Golbat,69.16,51.25,17.91,80
Chikorita,Charmeleon,68.77,50.91,17.86,72
Wingull,Tentacruel,64.04,46.19,17.85,78
Natu,Venusaur,71.66,53.92,17.73,63
Geodude,Venusaur,68.74,51.05,17.69,67
Onix,Venusaur,69.69,52.03,17.66,53
Chansey,Venusaur,67.82,50.23,17.59,78
Ponyta,Venusaur,74.13,56.63,17.5,65
Natu,Gyarados,70.84,53.45,17.4,56
Smeargle,Scyther,67.74,50.36,17.38,62
Meganium,Charizard,76.46,59.14,17.32,64
Larvitar,Exploud,67.65,50.36,17.29,72
Squirtle,Golbat,67.52,50.24,17.28,88
Wartortle,Venusaur,70.74,53.55,17.19,71
Magnemite,Scyther,69.14,51.97,17.18,68
Voltorb,Venusaur,69.1,51.95,17.15,67
Natu,Charizard,71.18,54.33,16.85,72
Larvitar,Crobat,64.62,47.8,16.82,65
Xatu,Celebi,82.39,65.59,16.8,296
Marill,Gyarados,67.3,50.6,16.7,66
Loudred,Pupitar,68.3,51.62,16.68,154
Vigoroth,Gyarados,69.66,52.98,16.68,68
Chansey,Gyarados,66.42,49.75,16.67,74
Magnemite,Charizard,71.3,54.73,16.57,84
Mudkip,Blaziken,66.56,50.0,16.56,71
Geodude,Gyarados,67.05,50.56,16.49,76
Exeggcute,Venusaur,68.14,51.75,16.4,69
Magikarp,Crobat,58.4,42.01,16.39,78
Psyduck,Venusaur,67.34,50.99,16.35,71
Donphan,Celebi,81.73,65.4,16.33,277
Squirtle,Blaziken,66.03,49.78,16.24,73
Diglett,Crobat,63.74,47.51,16.23,91
Vigoroth,Venusaur,69.52,53.46,16.06,63
Trapinch,Gyarados,68.05,52.0,16.06,74
Slakoth,Blaziken,67.03,50.98,16.05,92
Sunflora,Venusaur,69.18,53.2,15.98,68
Sandshrew,Gyarados,66.62,50.7,15.92,58
Porygon,Meganium,64.27,48.46,15.81,88
Flaaffy,Celebi,78.84,63.03,15.8,272
Porygon,Ivysaur,62.25,46.47,15.78,74
Lugia,Raikou,82.04,66.28,15.75,294
Donphan,Lugia,78.59,62.86,15.73,272
Loudred,Charizard,75.49,59.78,15.71,74
Slakoth,Charmeleon,66.7,51.09,15.61,86
Porygon2,Blastoise,72.46,56.86,15.6,65
Sandshrew,Venusaur,66.73,51.17,15.55,67
Lugia,Groudon,78.87,63.34,15.53,245
Rattata,Golbat,66.88,51.39,15.49,66
Hoothoot,Venusaur,67.0,51.53,15.47,77
Spearow,Charizard,71.06,55.59,15.47,55
Celebi,Raikou,84.28,68.83,15.45,296
Magnemite,Blastoise,68.2,52.77,15.43,74
Mudkip,Golbat,65.8,50.45,15.35,76
Pikachu,Crobat,65.01,49.66,15.34,69
Porygon2,Charizard,74.08,58.82,15.26,63
Trapinch,Venusaur,67.7,52.48,15.22,63
Cubone,Venusaur,68.2,53.01,15.2,66
Phanpy,Electabuzz,67.18,52.0,15.18,67
Smeargle,Blastoise,66.34,51.16,15.17,58
Porygon2,Venusaur,73.58,58.42,15.16,69
Treecko,Blaziken,66.29,51.14,15.15,94
Slugma,Gyarados,65.9,50.78,15.13,75
Slugma,Venusaur,66.39,51.26,15.13,74
Grovyle,Venusaur,70.23,55.2,15.03,72
Cubone,Gyarados,67.55,52.53,15.02,79
Lugia,Suicune,83.25,68.25,15.0,256
Chikorita,Blaziken,65.76,50.8,14.96,71
Sunflora,Charizard,68.55,53.61,14.95,63
Exeggcute,Gyarados,66.2,51.27,14.94,79
Celebi,Suicune,85.64,70.8,14.84,269
Cyndaquil,Golbat,67.18,52.35,14.83,94
Squirtle,Charmeleon,64.68,49.89,14.79,85
Spearow,Venusaur,69.93,55.2,14.74,68
Psyduck,Gyarados,65.23,50.51,14.72,77
Slakoth,Golbat,66.02,51.44,14.58,84
Raikou,Pidgeot,77.5,62.99,14.51,293
Minun,Gyarados,69.47,54.97,14.5,85
Sunflora,Gyarados,67.15,52.73,14.43,82
Psyduck,Charizard,65.72,51.39,14.33,60
Xatu,Scizor,74.64,60.33,14.32,287
Diglett,Electabuzz,62.68,48.45,14.23,85
Wingull,Electrike,59.9,45.71,14.19,56
Marill,Venusaur,65.21,51.08,14.13,92
Meganium,Gyarados,72.34,58.27,14.07,65
Fearow,Celebi,79.33,65.25,14.07,287
Hoothoot,Charizard,65.99,51.92,14.06,67
Meowth,Electabuzz,60.42,46.39,14.03,75
Whismur,Flareon,64.4,50.41,13.99,75
Phanpy,Crobat,65.04,51.06,13.98,72
Spearow,Gyarados,68.68,54.72,13.97,83
Geodude,Charizard,65.38,51.45,13.93,72
Sunkern,Crobat,60.78,46.88,13.9,66
Torchic,Golbat,67.5,53.62,13.88,88
Onix,Charizard,66.3,52.43,13.87,74
Porygon2,Feraligatr,68.45,54.59,13.86,67
Croconaw,Venusaur,68.16,54.3,13.86,65
Treecko,Golbat,65.37,51.59,13.78,81
Bulbasaur,Blaziken,67.06,53.3,13.77,80
Swampert,Gyarados,69.58,55.82,13.76,56
Hoothoot,Gyarados,64.8,51.05,13.76,59
Meganium,Blastoise,70.94,57.19,13.75,62
Cacnea,Larvitar,58.87,45.13,13.74,360
Quilava,Gyarados,68.44,54.7,13.73,58
Charmander,Golbat,68.78,55.09,13.69,89
Wartortle,Gyarados,66.76,53.06,13.69,74
Quilava,Venusaur,68.83,55.19,13.65,67
Rattata,Charmeleon,64.65,51.05,13.6,78
Xatu,Suicune,76.42,62.83,13.59,292
Mareep,Exploud,64.96,51.39,13.57,71
Grovyle,Gyarados,68.27,54.72,13.55,76
Trapinch,Charizard,66.38,52.88,13.51,67
Pikachu,Flareon,62.52,49.03,13.49,77
Mareep,Magmar,60.63,47.19,13.44,60
Celebi,Moltres,77.64,64.22,13.43,301
Exploud,Celebi,78.72,65.33,13.4,286
Totodile,Charmeleon,64.86,51.48,13.38,80
Porygon,Mantine,60.68,47.39,13.29,75
Porygon,Swampert,59.26,46.02,13.24,70
Celebi,Ampharos,73.57,60.34,13.23,252
Skarmory,Celebi,74.86,61.62,13.23,289
Diglett,Xatu,63.52,50.33,13.19,73
Ponyta,Gyarados,69.34,56.15,13.19,63
Starmie,Celebi,75.75,62.61,13.14,276
Celebi,Arcanine,79.69,66.59,13.1,254
Suicune,Arcanine,76.92,63.83,13.09,275
Diglett,Flareon,59.96,46.88,13.08,81
Celebi,Scizor,81.37,68.3,13.07,259
Suicune,Pidgeot,77.99,64.96,13.03,284
Celebi,Pidgeot,80.72,67.72,13.0,259
Raichu,Suicune,72.35,59.35,13.0,261
Electrode,Celebi,74.89,61.91,12.99,272
Vigoroth,Charizard,66.85,53.86,12.99,56
Celebi,Lugia,83.96,71.02,12.95,296
Donphan,Tauros,71.4,58.46,12.94,279
Minun,Venusaur,68.38,55.45,12.94,65
Oddish,Crobat,62.58,49.67,12.91,92
Celebi,Tauros,79.53,66.62,12.91,288
Cacnea,Crobat,62.19,49.3,12.88,70
Chansey,Scyther,60.71,47.86,12.85,82
Marill,Charizard,64.32,51.48,12.84,76
Raichu,Celebi,74.93,62.11,12.82,250
Rapidash,Celebi,75.76,62.95,12.81,258
Squirtle,Swampert,60.57,47.76,12.81,62
Ivysaur,Gyarados,69.07,56.28,12.8,82
Donphan,Suicune,75.41,62.64,12.77,265
Plusle,Venusaur,68.26,55.59,12.67,72
Meowth,Crobat,58.13,45.45,12.67,68
Scizor,Groudon,73.28,60.62,12.67,277
Fearow,Suicune,75.15,62.5,12.66,279
Xatu,Raikou,73.51,60.86,12.65,257
Slugma,Blastoise,62.26,49.7,12.57,65
Blissey,Celebi,75.68,63.12,12.55,269
