Round,Tier,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Wins,Losses,Draws,WinRate%
7,3,Torchic,Grovyle,Loudred,Blaziken,Meganium,Psyduck,185,3,0,98.4
7,3,Magnemite,Wartortle,Loudred,Minun,Meganium,Blaziken,198,4,0,98.0
7,3,Trapinch,Plusle,Grovyle,Magnemite,Golbat,Minun,193,4,0,98.0
7,3,Meganium,Mantine,Pidgey,Minun,Grovyle,Porygon2,206,6,0,97.2
7,3,Oddish,Plusle,Ponyta,Ivysaur,Blaziken,Porygon2,194,4,2,97.0
7,3,Swampert,Ponyta,Blaziken,Meganium,Chikorita,Loudred,187,6,0,96.9
7,3,Sandshrew,Blaziken,Porygon2,Loudred,Vulpix,Larvitar,178,6,0,96.7
7,3,Charmeleon,Loudred,Magnemite,Smeargle,Mantine,Slugma,192,6,1,96.5
7,3,Numel,Raticate,Porygon2,Ivysaur,Magnemite,Blaziken,206,6,2,96.3
7,3,Plusle,Spearow,Charmeleon,Swampert,Minun,Geodude,189,8,0,95.9
7,3,Raticate,Loudred,Charmeleon,Mantine,Geodude,Quilava,193,8,1,95.5
7,3,Charmeleon,Loudred,Slugma,Natu,Mantine,Wartortle,190,9,0,95.5
7,3,Spearow,Wartortle,Smeargle,Ponyta,Loudred,Grovyle,179,9,0,95.2
7,3,Ponyta,Minun,Meganium,Plusle,Charmeleon,Mudkip,210,11,0,95.0
7,3,Swampert,Plusle,Trapinch,Spearow,Loudred,Ponyta,207,11,0,95.0
7,3,Grovyle,Natu,Golbat,Porygon2,Meganium,Quilava,187,10,0,94.9
7,3,Loudred,Minun,Slugma,Charmeleon,Ivysaur,Swampert,185,10,0,94.9
7,3,Loudred,Charmeleon,Porygon2,Ivysaur,Whismur,Plusle,198,11,1,94.3
7,3,Treecko,Wartortle,Golbat,Blaziken,Meganium,Raticate,196,10,2,94.2
7,3,Zubat,Charmeleon,Grovyle,Loudred,Meganium,Ponyta,173,10,1,94.0
7,3,Magnemite,Mudkip,Ponyta,Magby,Mantine,Blaziken,195,12,1,93.8
7,3,Magnemite,Meganium,Whismur,Loudred,Wartortle,Larvitar,205,14,0,93.6
7,3,Croconaw,Plusle,Vigoroth,Natu,Minun,Geodude,170,12,0,93.4
7,3,Mantine,Golbat,Smeargle,Minun,Wartortle,Plusle,181,13,0,93.3
7,3,Meganium,Ponyta,Magnemite,Swampert,Zubat,Grovyle,174,13,0,93.0
7,3,Geodude,Golbat,Whismur,Swampert,Mantine,Plusle,183,12,2,92.9
7,3,Whismur,Charmeleon,Trapinch,Ponyta,Croconaw,Magnemite,169,12,1,92.9
7,3,Blaziken,Ponyta,Larvitar,Plusle,Ivysaur,Whismur,181,13,1,92.8
7,3,Swampert,Mareep,Meganium,Wartortle,Charmeleon,Spearow,179,13,1,92.7
7,3,Plusle,Charmeleon,Diglett,Ponyta,Grovyle,Golbat,178,13,1,92.7
7,3,Charmeleon,Grovyle,Swampert,Spearow,Ivysaur,Elekid,177,13,1,92.7
7,3,Magnemite,Squirtle,Porygon2,Mantine,Ponyta,Cubone,187,15,0,92.6
7,3,Mantine,Bulbasaur,Porygon2,Golbat,Meganium,Swampert,171,13,1,92.4
7,3,Croconaw,Phanpy,Porygon2,Plusle,Golbat,Bulbasaur,183,15,0,92.4
7,3,Swampert,Smeargle,Marill,Porygon2,Loudred,Spearow,182,15,0,92.4
7,3,Magby,Blaziken,Geodude,Porygon2,Ponyta,Raticate,180,15,0,92.3
7,3,Slugma,Croconaw,Magnemite,Zubat,Loudred,Porygon2,178,14,1,92.2
7,3,Swampert,Charmeleon,Mantine,Elekid,Hoothoot,Ivysaur,184,13,3,92.0
7,3,Vigoroth,Porygon2,Totodile,Charmeleon,Blaziken,Sunflora,195,17,0,92.0
7,3,Raticate,Porygon2,Voltorb,Ivysaur,Blaziken,Slowpoke,182,16,0,91.9
7,3,Plusle,Marill,Oddish,Blaziken,Porygon2,Croconaw,188,16,1,91.7
7,3,Slugma,Mantine,Phanpy,Torchic,Porygon2,Combusken,186,17,0,91.6
7,3,Spearow,Vigoroth,Hoothoot,Blaziken,Meganium,Slugma,175,10,6,91.6
7,3,Meowth,Porygon2,Quilava,Mantine,Magnemite,Golbat,175,16,0,91.6
7,3,Charmander,Slugma,Golbat,Magnemite,Quilava,Porygon2,175,16,0,91.6
7,3,Slugma,Numel,Pikachu,Wartortle,Porygon2,Ponyta,195,17,1,91.5
7,3,Spearow,Charmander,Quilava,Porygon2,Blaziken,Sunflora,183,17,0,91.5
7,3,Magnemite,Loudred,Charmeleon,Golbat,Combusken,Phanpy,181,17,0,91.4
7,3,Mantine,Onix,Ponyta,Golbat,Plusle,Raticate,181,16,1,91.4
7,3,Treecko,Plusle,Porygon2,Torchic,Blaziken,Quilava,180,17,0,91.4
7,3,Plusle,Wingull,Loudred,Bayleef,Swampert,Magnemite,189,18,0,91.3
7,3,Sandshrew,Golbat,Croconaw,Blaziken,Trapinch,Charmeleon,178,16,1,91.3
7,3,Sunflora,Swampert,Combusken,Quilava,Ponyta,Tentacool,178,17,0,91.3
7,3,Wartortle,Plusle,Meganium,Phanpy,Porygon2,Diglett,177,17,0,91.2
7,3,Blaziken,Grovyle,Magby,Porygon2,Bayleef,Smeargle,177,17,0,91.2
7,3,Porygon2,Ponyta,Golbat,Slakoth,Combusken,Chikorita,194,19,0,91.1
7,3,Ponyta,Blaziken,Plusle,Rattata,Porygon2,Minun,183,18,0,91.0
7,3,Swampert,Ponyta,Porygon,Charmeleon,Squirtle,Porygon2,183,18,0,91.0
7,3,Sunkern,Golbat,Plusle,Minun,Ponyta,Zubat,193,16,3,91.0
7,3,Mantine,Vigoroth,Swampert,Torchic,Combusken,Ponyta,172,17,0,91.0
7,3,Charmeleon,Wartortle,Slugma,Numel,Blaziken,Meganium,202,15,5,91.0
7,3,Meganium,Vulpix,Charmeleon,Eevee,Loudred,Sunflora,181,18,0,91.0
7,3,Meganium,Porygon2,Mantine,Croconaw,Magnemite,Pidgey,180,17,1,90.9
7,3,Charmeleon,Cubone,Loudred,Blaziken,Grovyle,Bayleef,189,19,0,90.9
7,3,Grovyle,Blaziken,Phanpy,Minun,Meganium,Bayleef,178,18,0,90.8
7,3,Geodude,Grovyle,Slugma,Swampert,Ponyta,Mantine,168,16,1,90.8
7,3,Quilava,Ivysaur,Voltorb,Blaziken,Cubone,Treecko,185,16,3,90.7
7,3,Rattata,Mantine,Ponyta,Slugma,Minun,Ivysaur,185,15,4,90.7
7,3,Wartortle,Croconaw,Sunflora,Loudred,Golbat,Slakoth,194,19,1,90.7
7,3,Quilava,Spearow,Ivysaur,Chansey,Whismur,Blaziken,184,15,4,90.6
7,3,Loudred,Swampert,Trapinch,Ponyta,Marshtomp,Elekid,173,17,1,90.6
7,3,Swampert,Magnemite,Meganium,Smeargle,Marshtomp,Porygon2,163,17,0,90.6
7,3,Loudred,Spearow,Smeargle,Blaziken,Cacnea,Hoothoot,172,15,3,90.5
7,3,Porygon2,Hoothoot,Mareep,Plusle,Mantine,Chansey,181,11,8,90.5
7,3,Sunkern,Swampert,Mantine,Quilava,Ponyta,Plusle,181,19,0,90.5
7,3,Croconaw,Plusle,Spearow,Blaziken,Diglett,Eevee,170,17,1,90.4
7,3,Spearow,Porygon2,Chikorita,Swampert,Natu,Blaziken,175,19,0,90.2
7,3,Sunflora,Eevee,Charmeleon,Golbat,Porygon2,Minun,175,18,1,90.2
7,3,Meganium,Magby,Mantine,Minun,Chansey,Quilava,184,20,0,90.2
7,3,Ivysaur,Swampert,Hoothoot,Mantine,Chansey,Whismur,201,20,2,90.1
7,3,Slugma,Cacnea,Ponyta,Ivysaur,Quilava,Magnemite,181,19,1,90.0
7,3,Trapinch,Mantine,Ponyta,Charmeleon,Swampert,Combusken,198,22,0,90.0
7,3,Croconaw,Ivysaur,Wartortle,Sunflora,Onix,Blaziken,198,14,8,90.0
7,3,Trapinch,Wartortle,Charmeleon,Voltorb,Porygon2,Whismur,197,22,0,90.0
7,3,Grovyle,Quilava,Voltorb,Magnemite,Meganium,Bulbasaur,187,21,0,89.9
7,3,Wartortle,Swampert,Quilava,Cubone,Porygon2,Phanpy,187,21,0,89.9
7,3,Ponyta,Swampert,Porygon,Blaziken,Smeargle,Vulpix,178,20,0,89.9
7,3,Slugma,Chikorita,Minun,Meganium,Magnemite,Numel,169,18,1,89.9
7,3,Smeargle,Mantine,Ponyta,Spearow,Croconaw,Sunflora,177,20,0,89.8
7,3,Blaziken,Trapinch,Pidgey,Meganium,Minun,Magnemite,176,20,0,89.8
7,3,Charmander,Swampert,Croconaw,Ivysaur,Combusken,Porygon2,184,18,3,89.8
7,3,Totodile,Minun,Mantine,Wartortle,Ponyta,Charmeleon,183,20,1,89.7
7,3,Charmander,Raticate,Mantine,Wartortle,Porygon2,Charmeleon,183,21,0,89.7
7,3,Psyduck,Charmeleon,Ivysaur,Porygon2,Chansey,Spearow,165,19,0,89.7
